Time,Round,PlayerGesture,OpponentGesture,Result,Total,Shape,Open,Score,Wins,Losses,Draws,HighModeActive,HighWinProb,AssistActive,AssistWinProb
2025-07-20 17:33:28,1,rock,rock,Draw,21.74,0.00,45.65,0,0,0,1,0,,0,
2025-07-20 17:33:39,2,paper,paper,Draw,32.60,3.78,100.00,0,0,0,2,0,,0,
2025-07-20 17:33:52,3,rock,scissors,You Win!,19.97,0.00,50.07,3,1,0,2,0,,0,
2025-07-20 17:34:03,4,paper,rock,You Win!,31.29,1.41,100.00,6,2,0,2,0,,0,
2025-07-20 17:34:12,5,rock,scissors,You Win!,25.96,0.00,34.04,9,3,0,2,0,,0,
2025-07-20 17:34:23,6,scissors,scissors,Draw,,,,9,3,0,3,0,,0,
2025-07-20 17:34:36,7,paper,scissors,You Lose!,30.66,0.00,100.00,8,3,1,3,0,,0,
2025-07-20 17:35:00,8,paper,paper,Draw,30.19,0.46,100.00,8,3,1,4,0,,0,
2025-07-20 17:35:11,9,paper,rock,You Win!,33.18,4.25,100.00,11,4,1,4,1,0.35,0,
2025-07-20 17:35:53,10,rock,rock,Draw,22.25,0.00,44.37,11,4,1,5,1,0.35,0,
2025-07-20 18:06:43,1,paper,rock,You Win!,30.00,0.00,100.00,3,1,0,0,0,,0,
2025-07-20 18:07:45,1,rock,rock,Draw,13.44,0.00,66.49,0,0,0,1,0,,0,
2025-07-20 18:08:54,1,rock,rock,Draw,22.95,0.00,42.63,0,0,0,1,0,,0,
2025-07-20 18:10:20,1,scissors,rock,You Lose!,,,,-1,0,1,0,0,,0,
2025-07-20 18:20:16,1,scissors,paper,You Win!,,,,3,1,0,0,0,,0,
2025-07-20 18:20:41,2,rock,paper,You Lose!,24.66,0.00,36.22,2,1,1,0,0,,0,
2025-07-21 10:53:04,1,scissors,rock,You Lose!,25.00,0.00,100.00,-1,0,1,0,0,,0,
2025-07-21 10:53:21,2,scissors,scissors,Draw,31.28,4.70,100.00,-1,0,1,1,0,,0,
2025-07-21 10:53:39,3,rock,paper,You Lose!,18.74,0.00,53.50,-2,0,2,1,0,,0,
2025-07-21 11:09:38,1,rock,paper,You Lose!,21.27,0.00,46.49,-1,0,1,0,0,,0,
2025-07-21 11:09:54,2,scissors,scissors,Draw,25.00,0.00,100.00,-1,0,1,1,0,,0,
2025-07-21 11:14:34,1,rock,scissors,You Win!,22.06,0.00,44.74,3,1,0,0,0,,0,
2025-07-21 11:17:04,1,rock,scissors,You Win!,23.12,0.00,42.20,3,1,0,0,0,,0,
2025-07-21 11:17:46,2,rock,rock,Draw,17.49,0.00,55.05,3,1,0,1,0,,0,
2025-07-21 11:18:48,1,rock,paper,You Lose!,23.14,0.00,42.16,-1,0,1,0,0,,0,
2025-07-21 11:28:43,1,rock,paper,You Lose!,11.75,0.00,70.87,-1,0,1,0,0,,0,
2025-07-21 15:34:37,1,rock,scissors,You Win!,10.40,0.00,74.80,3,1,0,0,0,,0,
